id,month,day,hour,latitude,longitude,sea_surface_temp
14216554,6,6,4,-12.65,-123.41,27.2
15735401,8,22,3,27.3,-90.7,29.5
9159285,2,5,2.62,42.8,-70.2,6.6
1891961,9,28,1.23,-12.01,-102.19,23.2
19843855,10,25,16,38,-76.47,18.1
15540744,12,16,13,27.58,-97.22,
4757835,3,23,14,41.54,-81.64,
9160251,11,5,10.83,47.3,-124.7,12.6
5020952,9,1,3,46.71,-123.97,18.2
16533869,2,16,3.83,28.8,-86,
9824708,11,25,4,46.49,-84.3,
18157422,10,4,11,4.86,137.27,29.1
455058,3,14,0,48.2,-88.4,
17478724,10,14,1,36,-7,22.8
7367311,11,11,7,84.54,-43.37,
10332458,6,10,0,17.97,-67.05,29.3
14311400,12,9,5.17,83.4,-143.77,
16766530,7,23,12,47.1,-90.7,
14634962,3,19,10,45.72,-34.56,13
4611911,1,19,21,57.3,1.6,
12012861,12,31,9,39.56,-75.57,3.4
17994232,11,30,23,64.94,-4.41,4.9
3641655,5,20,7,34.23,-77.95,
11592920,4,18,4,55.9,-4.7,
18348509,2,10,19,47,155.1,
19243454,1,7,4.33,-14.6,-142.45,28
11636493,1,19,13.83,44.3,-67.3,
18844858,12,25,9,28.64,-96.6,17.5
1350651,3,11,3.83,38,-76.3,
15822487,12,25,8.97,-12.55,176.17,29.6
9980792,9,30,14.67,29.34,-59.06,27.6
12960975,10,29,10.35,-26.66,110.96,21.4
13375512,8,11,18,8,130,28.9
3303243,7,10,17.88,-4.69,-105.56,25.1
1449728,1,14,16.17,43.05,169.87,
14703038,12,21,14,60.8,1.7,
2373674,7,12,21.17,-22.73,66.42,23.1
18693914,1,21,17.13,9.84,-27.48,25.4
3614732,6,19,6,28.48,-94.01,28.3
15033920,1,1,14.38,-12.57,-88.92,22.2
10267769,10,8,19,-25.28,-44.93,
3608661,6,19,13.4,-20.18,-139.97,26.3
4953365,10,29,7,46.8,-71.2,
18896112,8,27,6.1,10.81,133.88,30
7303750,7,9,18.67,-14.31,-35.75,26.4
12446691,6,14,12.37,31.93,-69.8,23.5
10100477,10,3,9,46.78,-92.09,
11553047,5,17,3.75,54.82,5.7,8.2
17165295,11,5,16.17,-26.91,-126.49,22
9532280,8,16,21.67,-49.17,126.76,9.2
9426227,5,13,18,-6.03,-10,27.4
11150488,10,5,0,79.67,-112.1,
5416500,1,13,2,83.9,-48.3,
12895808,10,27,7,45.48,-52.38,12.5
9848892,9,26,6,55.99,-160.57,
12938193,4,29,3,44.43,-33.84,15.8
18174771,7,5,11,40.14,-74.75,29.2
5782150,5,24,10,48.11,-122.76,9.3
6435796,10,14,0.83,-50.8,-151.92,9.1
8773139,7,24,9.33,-24.4,-90.75,19.8
1524336,4,16,23,59.7,-149.5,
11026087,4,1,0.2,-36.33,-137.11,19
9101806,4,3,14,37.8,-122.33,
2719866,7,22,10,42.4,-124.9,13.8
1429429,7,13,15.83,45.4,-85.1,22.3
16610780,12,18,19.67,39.2,-76.4,
3842656,5,26,19.67,13.57,125.71,31.2
5927029,6,29,20.07,-8.06,-171.59,29.1
7793637,8,24,1,44.59,-24.64,18.7
8159993,9,5,17,57.3,1.3,
5747031,10,23,16,2.02,-179.83,29.3
8932944,5,29,5,-30.55,-9.64,
2393880,5,12,8.83,44.3,-67.3,7.3
5887565,8,27,11,18.46,-67.16,28.4
2289365,8,9,2,48.86,-122.76,
10336996,4,10,11,43,-58,4.5
7947037,1,29,8,5.07,-124.93,26
10549142,4,17,2.85,34.1,-77.7,18.9
823709,9,26,17,57.7,0.9,
1026897,8,1,1.67,36.11,-67.52,27.4
16608767,8,18,6,-27.27,-73.71,14.9
13127715,9,4,12,30.25,-88.08,
18440726,12,13,12,-22.8,155.4,25.4
17962286,12,29,23.83,-20.45,-89.11,21.1
19085007,12,2,13.83,-18.11,-6.92,20.5
11921769,4,28,20.5,44.6,-124.3,
19368035,7,11,4.88,-32.07,152.59,18.6
938843,7,29,11,54.6,11.1,18
4400657,7,13,17.55,59.36,-44.02,4.9
11643643,10,20,22,48.65,-19.5,15.3
19763489,6,23,2.83,51.7,-172.2,5.7
6844517,11,26,15,46.27,-84.19,
3483946,5,15,4.5,32.09,-162.96,19.9
3169579,9,6,1.67,27.72,-83.48,
3661697,1,20,23.67,35.1,160.44,17.9
11349758,7,11,11.17,28.32,-64.05,28.2
9665304,9,20,1,54,1.1,
15257252,2,8,23.67,41.28,175.58,9.8
10984447,9,30,6,56.25,-134.65,
12963703,4,29,10.98,47.3,-122.7,
13406043,12,12,1.33,48.3,-123.2,8.6
7954539,6,29,13,53.3,-6.2,
16254737,8,7,15,4.5,-32.8,27.5
10499069,1,15,7,18.3,-64.8,26.3
18695379,8,21,0.17,-14.05,-37.66,
7252046,9,8,6,61.93,-21.27,11.3
3623733,8,19,13,52.7,-133.1,
2831533,4,26,16.65,38.84,175.74,11.3
13879280,1,27,8.9,16.32,-175.28,26
10455967,5,14,0,37.8,-22.1,17.7
8805757,5,25,8,7.94,-38.03,27.4
3351756,7,11,5,-70.38,166.66,
19835471,3,25,17.17,-57.91,-58.3,
13019212,9,1,15.83,35.8,-75.3,26.4
19585914,2,17,15,-0.02,-170.04,
1983140,3,30,23,18.46,-67.16,26.2
9768218,7,23,13,39.09,-75.44,
12575034,9,17,17.4,40.3,-124.7,13
17113170,3,3,19,44.2,-124.6,8.9
13283669,12,9,4,54.92,-135.79,7.2
9798371,6,24,6.17,-33.16,75.86,16.3
13167691,11,5,13.5,65.71,-168.98,0.1
18606707,5,18,1,-11.9,93.26,28.4
3143276,4,5,11.17,-25,-91.86,23.3
5681467,5,21,19,47.5,-8.4,13.2
1174899,5,6,21.42,17.9,-86.88,28.9
14554423,5,17,3,-19.9,-137.19,27.8
18544569,1,16,10,25.8,-93.7,23.2
626539,1,20,22.52,31.53,-151.19,19.6
2655433,5,20,3.83,43.5,-70.2,
9865415,9,26,2.83,31.9,-74.8,28.1
10205586,10,6,8,38.6,-76.4,22.2
2032676,8,1,21,17.78,-64.76,29
15088762,5,2,12,-2.9,85.4,31
4734412,3,23,8.27,4.23,-171.6,27.5
8137606,5,4,23,43.4,7.8,15.3
6868284,9,27,21.75,33.8,-119.7,21.4
10259715,6,8,8,53.3,-4.8,
10800770,9,24,10,56.9,-154.25,
9293195,9,9,0,-37.3,138,
5859217,10,26,17,42.62,7.03,19
16728432,11,22,9,-16.01,80.46,25.9
19482451,6,14,15,50,-145.1,7.4
4315523,1,10,1,61.1,1.7,
16775628,2,23,7.67,22.54,123.32,24.5
8113624,4,4,19.83,36.71,-52.72,18.2
4315696,10,10,11,50.96,-136.79,12.5
4727413,6,22,3,-1.51,80.49,29.4
7077331,1,3,15.7,45.47,-154.4,8.5
15629195,2,19,9.67,-49.25,80.3,7.2
13129549,1,4,7.23,32.9,-117.4,15
11050872,11,2,3,57.78,-135.22,
5508663,8,16,16.73,-12.54,-91.84,21.6
7444416,3,14,6,50.24,-144.21,4.7
15902414,5,27,6,49.34,-140.38,6.6
14940304,12,28,22,57.78,-135.22,
3532410,8,17,20,34.94,-75.49,28.7
