,id,month,day,hour,latitude,longitude,sea_surface_temp
5794,12219206,1,7,15.0,2.01,-139.99,19.248426150121063
2611,14226879,1,7,15.27,32.7,169.72,19.8
633,1213416,1,7,16.0,39.81,-75.41,4.1
4109,8222560,1,7,17.17,-29.25,-101.77,22.4
1411,9235001,1,7,18.0,74.2,18.5,1.4
1742,14259653,1,8,1.0,-29.86,-84.54,20.9
4928,4241342,1,8,1.0,57.2,0.8,8.7
8129,17278720,1,8,1.33,-41.15,107.45,13.1
5625,3260261,1,8,3.0,48.11,-122.76,8.0
3798,16256166,1,8,3.5,14.98,168.67,27.5
3907,261943,1,8,4.83,-27.73,-100.55,23.2
2572,4263482,1,8,6.0,39.9,19.2,19.248426150121063
4021,11260414,1,8,6.0,-48.39,-139.49,19.248426150121063
3981,249110,1,8,8.0,57.2,2.1,19.248426150121063
9878,13278259,1,8,11.33,-26.78,60.78,25.0
3588,1259935,1,8,11.67,-9.93,78.41,29.6
5423,11256894,1,8,12.0,44.5,-124.6,19.248426150121063
1175,239867,1,8,12.83,32.4,-119.5,19.248426150121063
473,1238523,1,8,13.78,32.45,-75.0,21.2
4406,14275682,1,8,15.33,-21.56,-137.35,19.248426150121063
1187,18284735,1,8,15.7,25.25,-179.87,25.5
611,16279146,1,8,16.67,14.81,-19.88,23.7
5985,1248932,1,8,17.0,48.4,-133.9,7.8
619,5269765,1,8,18.0,27.76,-82.63,18.6
4796,13258746,1,8,18.0,43.8,-68.8,19.248426150121063
5270,16258732,1,8,19.0,53.9,1.2,19.248426150121063
7138,9255213,1,8,20.0,47.6,-52.7,19.248426150121063
8884,17288302,1,8,20.87,46.76,-84.97,19.248426150121063
3475,258202,1,8,21.17,66.0,8.1,19.248426150121063
2787,13256213,1,8,22.0,47.6,-52.7,19.248426150121063
5195,9272194,1,8,22.33,-32.4,177.12,21.1
6201,11264348,1,8,23.8,25.2,159.4,26.0
3378,8306965,1,9,0.0,30.33,-89.33,15.1
7242,6274078,1,9,0.33,-41.97,50.83,11.3
8305,12295011,1,9,1.17,0.81,84.8,28.7
9329,8294945,1,9,1.8,37.9,-123.5,11.4
