,id,month,day,hour,latitude,longitude,sea_surface_temp
3605,18282920,5,8,1.83,18.3,-64.8,26.60684583373521
3788,9984159,4,30,6.0,18.3,-64.8,26.5
4206,1245093,10,8,23.17,18.3,-64.8,26.586600570085665
4709,4037623,4,1,14.67,18.3,-64.8,26.56448213460696
5510,7552593,4,17,1.67,18.3,-64.8,26.550360901564208
5540,19140339,1,4,23.67,18.3,-64.8,26.567147868752276
5626,8197080,6,6,8.83,18.3,-64.8,26.56066363497448
5932,14333003,7,10,21.5,18.3,-64.8,26.559390801763655
6231,1818985,11,25,9.17,18.3,-64.8,26.562400768496804
8197,15478700,3,14,18.83,18.3,-64.8,23.095613801308733
8218,18738621,8,22,6.83,18.3,-64.8,22.229351342892297
8240,5381300,10,12,2.5,18.3,-64.8,22.077473182539567
554,18513439,9,15,22.0,49.2,-64.8,12.7
1277,2889547,9,27,0.0,49.2,-64.8,23.45113742090531
3814,10481726,11,15,13.6,26.32,-64.79,25.8
340,2032676,8,1,21.0,17.78,-64.76,29.0
509,15537719,8,16,1.0,17.78,-64.76,28.9
3943,2101181,1,3,19.0,17.78,-64.76,27.1
5763,1915454,4,28,12.0,17.78,-64.76,27.0
1216,3984142,8,30,11.0,17.7,-64.75,28.6
4012,17814013,5,24,2.0,17.7,-64.75,28.3
4812,4875246,5,27,13.0,17.7,-64.75,28.3
6732,12955915,10,29,22.0,17.7,-64.75,30.2
2819,11214636,8,7,16.47,28.21,-64.75,28.8
1820,3177387,5,6,17.0,18.32,-64.72,26.433333333333334
9768,18558015,6,17,11.0,32.37,-64.72,24.2
7668,10253067,5,8,4.58,37.46,-64.72,19.2
1773,5134916,5,4,23.0,17.75,-64.7,27.9
1960,4941256,12,29,19.0,17.75,-64.7,24.42
2030,7809091,9,25,21.0,17.75,-64.7,23.486666666666668
7861,2418072,8,13,17.0,17.75,-64.7,32.1
5292,14762712,2,23,6.0,32.37,-64.7,18.7
5810,18521622,2,15,7.0,32.37,-64.7,18.6
7441,5143580,9,5,11.0,32.37,-64.7,29.2
8666,4228041,3,7,16.0,32.37,-64.7,19.3
8860,14303952,3,9,8.0,32.37,-64.7,19.3
9256,19119438,8,3,11.0,32.37,-64.7,29.1
8520,3909050,3,28,15.0,32.4,-64.7,21.1
5620,13246830,4,7,21.0,32.38,-64.68,23.0
6527,12859603,4,26,13.0,-56.41,-64.65,5.0
5196,17248249,6,7,19.18,34.69,-64.6,22.2
6895,2540687,1,17,20.2,39.02,-64.47,20.3
9353,7062445,3,2,14.5,27.68,-64.39,21.8
3962,8136465,2,4,7.0,-45.6,-64.3,17.839999999999996
5470,11369584,2,11,11.83,37.6,-64.3,19.9
9933,17203751,9,6,8.0,61.14,-64.28,20.106666666666666
7252,18511044,4,15,21.67,-55.79,-64.27,5.0
781,14664460,8,20,18.0,31.7,-64.2,28.7
7580,9918248,7,28,13.0,31.7,-64.2,27.4
4769,96223,11,3,8.0,49.6,-64.2,6.7
4022,15860429,3,26,20.38,35.08,-64.19,20.1
1367,7511199,7,16,19.0,42.07,-64.19,19.8
303,11349758,7,11,11.17,28.32,-64.05,28.2
7116,7508869,9,16,0.13,36.63,-64.03,27.2
8152,6144755,7,5,5.93,40.75,-64.02,22.1
8271,14522232,8,16,11.02,40.34,-64.01,26.7
1182,11441994,9,13,16.0,42.5,-64.0,21.5
4256,7284281,8,9,2.0,42.5,-64.0,21.3
5101,2593573,8,18,16.0,42.5,-64.0,21.8
9098,10026447,6,1,7.0,11.7,-63.9,19.349999999999998
7988,649467,11,20,4.0,43.4,-63.9,12.5
9195,19782940,4,23,2.5,35.02,-63.72,20.0
7587,4302808,4,10,17.65,36.3,-63.69,19.0
5601,13541399,4,16,20.0,-53.09,-63.66,7.9
6067,13287275,1,9,7.25,27.89,-63.62,22.6
675,14502537,11,15,6.0,18.1,-63.6,29.0
5522,10138931,8,4,7.0,44.6,-63.6,19.833333333333332
644,3579573,5,18,3.0,44.7,-63.6,23.811111111111114
4487,17282395,8,8,14.0,44.7,-63.6,25.16111111111111
6408,17435053,7,13,1.0,44.7,-63.6,24.20138888888889
7304,10348230,9,11,11.0,44.7,-63.6,25.934722222222224
5012,14305194,11,9,12.0,24.41,-63.54,28.0
4547,7613589,8,19,3.0,85.97,-63.51,26.65902777777778
1124,5788228,6,24,1.0,16.3,-63.5,28.5
1774,7823215,8,25,21.83,16.3,-63.5,27.889756944444443
4300,5950669,8,29,0.83,16.3,-63.5,27.549756944444447
5638,16212338,12,6,11.83,16.3,-63.5,28.4
7174,2814443,6,25,21.83,16.3,-63.5,27.767902777777778
7208,5218120,2,7,14.83,16.3,-63.5,26.3
5551,2230436,4,7,13.0,44.6,-63.5,21.811317129629632
2514,10193674,8,6,14.5,27.44,-63.43,28.7
78,11985602,6,30,12.0,44.5,-63.4,14.4
406,11356654,1,11,4.02,44.5,-63.4,5.3
935,11486429,3,15,13.52,44.5,-63.4,1.9
2103,9393215,2,12,6.0,44.5,-63.4,2.2
3166,18057896,11,1,4.0,44.5,-63.4,12.7
5486,5405884,5,13,12.52,44.5,-63.4,6.5
5979,10494374,9,15,20.0,44.5,-63.4,17.6
9828,10663226,2,20,5.0,44.5,-63.4,1.9
1076,11984845,4,30,16.5,34.19,-63.33,20.0
1142,1542178,5,17,11.67,-64.2,-63.3,17.05
9165,7593162,7,18,20.0,20.86,-63.16,28.7
4417,17396458,3,12,11.0,44.5,-63.1,22.389999999999997
7893,1495094,11,15,11.0,59.9,-63.1,22.80666666666667
1101,11729188,5,22,6.0,27.5,-63.0,24.1
3063,8974875,1,30,0.0,27.5,-63.0,22.1
5024,10732753,2,22,8.83,27.5,-63.0,22.5
9780,6272013,1,9,8.0,44.5,-63.0,20.499999999999996
6853,4568426,1,18,5.33,20.25,-62.97,25.4
5585,5365703,1,11,1.0,45.9,-62.9,1.6
6391,5346411,8,11,8.17,35.96,-62.86,27.3
4123,10510764,12,16,15.0,24.4,-62.84,26.3
5542,15803644,6,24,13.73,31.85,-62.81,24.4
2520,15788014,7,24,0.38,27.52,-62.76,28.9
